Europe & Central Asia (IDA & IBRD countries),TEC,19.96556805
Togo,TGO,145.0467917
Thailand,THA,135.8970698
Tajikistan,TJK,65.57278622
Turkmenistan,TKM,12.450582
Latin America & the Caribbean (IDA & IBRD countries),TLA,31.3706304
Timor-Leste,TLS,85.27067922
Middle East & North Africa (IDA & IBRD countries),TMN,43.81969386
Tonga,TON,143.3319444
South Asia (IDA & IBRD),TSA,380.3287736
Sub-Saharan Africa (IDA & IBRD countries),TSS,45.20720678
Trinidad and Tobago,TTO,270.9241715
Tunisia,TUN,74.44131694
Turkey,TUR,106.986591
Tuvalu,TUV,383.5
Tanzania,TZA,63.57354256
Uganda,UGA,213.0911231
Ukraine,UKR,77.0150466
Upper middle income,UMC,46.41740226
Uruguay,URY,19.70797623
United States,USA,35.73009646
Uzbekistan,UZB,74.80586987
St. Vincent and the Grenadines,VCT,282.5897436
"Venezuela, RB",VEN,32.74997676
British Virgin Islands,VGB,198.6333333
Virgin Islands (U.S.),VIR,305.7171429
Vietnam,VNM,308.1431902
Vanuatu,VUT,24.00943396
World,WLD,58.42645266
Samoa,WSM,69.30318021
Kosovo,XKX,
"Yemen, Rep.",YEM,53.97784533
South Africa,ZAF,47.64075213
Zambia,ZMB,23.34133362
Zimbabwe,ZWE,37.32405842
